"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_3202432",0.360573980372115,12.110858270964,7.87654071553334,6.12132233252634e-14,2.67223544007195e-11,21.1386995188596
"ILMN_1751803",0.170201482848935,8.47212678088904,7.83807289352333,7.89825328487582e-14,3.34653637711533e-11,20.8926428348523
"ILMN_3200299",0.49762457833325,9.82318880978826,7.82852731573033,8.41286912869967e-14,3.42111407575339e-11,20.8317071875193
"ILMN_2255310",0.506556599565243,8.40652194074067,7.82591819195078,8.55920369303206e-14,3.42111407575339e-11,20.8150599105755
"ILMN_3246805",-1.17408322602483,10.0239910111522,-7.82194817456724,8.78670143015935e-14,3.42111407575339e-11,20.7897365505911
"ILMN_1676984",0.128621242004838,6.96084828420828,7.8133453568129,9.30037099033125e-14,3.52581959175558e-11,20.7348910745085
"ILMN_1745788",-0.217043109406085,7.63353364123706,-7.80221791642001,1.00089891917831e-13,3.69716662299558e-11,20.6640091376805
"ILMN_3308936",0.234509152945168,7.62487645221343,7.76023399513542,1.31962719543507e-13,4.7526373443594e-11,20.3971695937414
"ILMN_1686954",0.426215042530162,11.8967752883852,7.68926387845932,2.10118090871152e-13,7.31489126168016e-11,19.948266633602
"ILMN_1800855",0.193743726145378,8.60797187819872,7.6869908817984,2.13262135909042e-13,7.31489126168016e-11,19.9339346314952
"ILMN_1706990",0.161404822809882,7.11336993941728,7.67313107007516,2.33463304188235e-13,7.82156362822258e-11,19.8466049355045
"ILMN_1809013",0.4091204916883,11.959429944339,7.66097254397025,2.52732628795503e-13,8.27469602370003e-11,19.7700814039656
"ILMN_1766245",0.180474049172618,8.58735204003017,7.65219722440565,2.67607462010241e-13,8.48029159662128e-11,19.7149014637152
"ILMN_1810327",-0.170330036296821,8.06631795117644,-7.65038496198379,2.70785376540732e-13,8.48029159662128e-11,19.7035110676551
"ILMN_1678939",0.476258955005058,10.9257357435921,7.60469935573669,3.64429376541034e-13,1.11701480818088e-10,19.4169654807988
"ILMN_1796962",-0.350338131293174,8.47030384623625,-7.5146112241446,6.52376374598136e-13,1.95794459426266e-10,18.855308835042
"ILMN_2324989",0.110493639483654,6.84746968470234,7.48508006490533,7.88800294248905e-13,2.31907286509178e-10,18.6721824063601
"ILMN_1762284",0.248767828933373,7.46061520350718,7.46063122558658,9.22745973793798e-13,2.65861569969469e-10,18.5209432261757
"ILMN_2088437",-0.367875616869775,10.029631499745,-7.45491066668821,9.5719118617168e-13,2.70378357411553e-10,18.4856048416957
"ILMN_2103362",0.160739249783123,7.410451494724,7.42349180868994,1.17023632001883e-12,3.24200469734448e-10,18.291847002496
"ILMN_1771627",-0.274000833475544,8.65986606320597,-7.40792919262883,1.292448842414e-12,3.51302226864456e-10,18.1960808661868
"ILMN_1749447",0.313575840915901,11.6380520526643,7.39630480830002,1.39186585221807e-12,3.7131887901951e-10,18.1246389428883
"ILMN_3249578",-1.11195977123473,11.5674262450901,-7.38309305389506,1.51403456119808e-12,3.95905981967316e-10,18.0435347853283
"ILMN_1703337",-1.21922175129344,7.56602259279614,-7.38052366328558,1.53899312718101e-12,3.95905981967316e-10,18.0277734149948
"ILMN_1728298",-0.236853656920568,8.45772000807183,-7.36925913229658,1.65328830932118e-12,4.17573952039389e-10,17.9587181269591
"ILMN_1768534",-0.239493236298744,8.65779533165577,-7.36662550097224,1.68119458685857e-12,4.17573952039389e-10,17.9425835685857
"ILMN_1699015",0.217568275048325,13.9207935939393,7.32727438545322,2.1578954292408e-12,5.26892229722762e-10,17.7019785055249
"ILMN_2073732",-0.161769817186544,7.76451387342073,-7.31638811215888,2.31182010921409e-12,5.55068008222303e-10,17.6355736627581
"ILMN_3296979",0.460847977039645,10.4157190829429,7.31137476535847,2.38629717693048e-12,5.58494681872854e-10,17.6050158835943
"ILMN_3187852",-0.182550247175113,9.28434797385525,-7.31023026535017,2.40362836846571e-12,5.58494681872854e-10,17.598041863007
"ILMN_2319994",0.320730983474959,11.4827185510587,7.30661014221721,2.459268876394e-12,5.62352816402094e-10,17.5759875909502
"ILMN_1689389",0.198019057778286,9.0129866081909,7.3011882026865,2.54498535991343e-12,5.72860298358015e-10,17.542970572948
"ILMN_1787949",0.635899556680215,10.8658759277871,7.28975645440808,2.73547661997373e-12,6.06265787497563e-10,17.4734123954998
"ILMN_2087303",0.297422406968955,8.64368495029208,7.28360284041681,2.84376476154233e-12,6.14584878145146e-10,17.4360011332214
"ILMN_2374770",0.333498369425778,8.15369062948178,7.28272899649418,2.85948087846684e-12,6.14584878145146e-10,17.4306903260453
"ILMN_2224143",-0.168234166648032,9.22059014890682,-7.28044316273116,2.90099762001041e-12,6.14584878145146e-10,17.4168002103005
"ILMN_1786601",-0.159318557539561,7.77386261329364,-7.27217403583949,3.0562082624272e-12,6.38083133746757e-10,17.3665772768033
"ILMN_2357419",0.39054961463717,8.82285525099248,7.25696573054324,3.36332391167987e-12,6.92172061023717e-10,17.2743125801952
"ILMN_1656233",-0.215326618822409,13.0545358192251,-7.25314625844605,3.44511369684113e-12,6.94932983395642e-10,17.2511619988997
"ILMN_1686968",-0.146124749575418,7.81107371144807,-7.25123553161904,3.48676212543263e-12,6.94932983395642e-10,17.2395838891991
"ILMN_3238435",0.191816466238698,7.04699423826342,7.24966091436915,3.52145687823698e-12,6.94932983395642e-10,17.2300440437855
"ILMN_2091084",-0.312244594452848,12.1573502453286,-7.22061740950859,4.22594546240839e-12,8.22688788262910e-10,17.0543427567545
"ILMN_2220320",-0.289789544656756,12.5802316948282,-7.19970605072796,4.81744784217809e-12,9.1699230181028e-10,16.9281429528908
"ILMN_3243593",-0.790963200087328,7.51484889606276,-7.19767183325292,4.87916565699729e-12,9.1699230181028e-10,16.9158801515518
"ILMN_1713086",0.241438686960651,12.5097378134323,7.19694782355408,4.90131939743104e-12,9.1699230181028e-10,16.9115162152837
"ILMN_3246850",0.626444506334144,11.0386353764679,7.17377980914759,5.66500134514815e-12,1.04628217151544e-09,16.7720346196743
"ILMN_1743352",0.126222383346521,7.2932817474208,7.16169488214317,6.10870318956466e-12,1.11394909049201e-09,16.6994034118238
"ILMN_3248218",-0.127667424657891,7.22244881971088,-7.14574850608777,6.74691443475679e-12,1.21495061683883e-09,16.60369647731
"ILMN_1656807",0.504930362629372,10.6702200622266,7.14294741519596,6.86561076688065e-12,1.22106158898374e-09,16.5869004053179
"ILMN_1746436",0.266128654425758,8.4023568392564,7.13864238510405,7.0520568159165e-12,1.22528319773294e-09,16.561095367262
"ILMN_1704315",0.212211310479166,12.6462268416431,7.13847388758985,7.05945476966779e-12,1.22528319773294e-09,16.56008558921
"ILMN_1672503",-0.267745060547758,9.12979609338283,-7.13234142337263,7.33396686697771e-12,1.25777531768668e-09,16.5233461692529
"ILMN_1677919",0.140925942674109,8.23325257525098,7.1224369681495,7.7996839145397e-12,1.32190878203363e-09,16.4640559005629
"ILMN_3232282",-0.273167058594375,12.6480949571886,-7.11081991490928,8.38313287195716e-12,1.40427223434203e-09,16.394587784259
"ILMN_1726392",0.221833845803287,7.82264885194566,7.10261933904868,8.82066127199129e-12,1.45815264671399e-09,16.3455979182101
"ILMN_2390821",-0.172778620546903,7.41669793593705,-7.10104450030913,8.90722149873877e-12,1.45815264671399e-09,16.336194479883
"ILMN_1671207",-0.14340891233168,7.62892754145033,-7.09156735768943,9.44606942713774e-12,1.52898961985782e-09,16.2796371678059
"ILMN_1803476",0.182749820055095,8.53520627032693,7.08640604432436,9.75289874374321e-12,1.5611139922485e-09,16.2488581863868
"ILMN_1739441",-0.157122144959804,7.93332722044927,-7.05720265838529,1.16829849823191e-11,1.84950639181637e-09,16.0750061343034
"ILMN_3281599",0.275788093342399,11.9310172665483,7.02613855167646,1.41490899080199e-11,2.21556292624929e-09,15.8906372783194
"ILMN_1668270",0.307907547360816,9.42570883293266,7.01796266806096,1.48791450429605e-11,2.30482756439666e-09,15.8422088489954
"ILMN_1876924",-0.23966840620824,8.67989823301911,-7.01349869482162,1.52932680240894e-11,2.34377467186204e-09,15.8157842537973
"ILMN_1690625",0.189645441580215,7.72380848711879,7.00826958385181,1.579281515766e-11,2.39485573853948e-09,15.7848456705107
"ILMN_2401906",-0.293449444818556,12.7750817348781,-7.00502968024523,1.61103506297727e-11,2.41755949138026e-09,15.7656847085765
"ILMN_2411723",0.34052652727191,11.7128931915995,7.00140404798889,1.64731434743029e-11,2.44651654526606e-09,15.7442500311923
"ILMN_1662130",-0.30392111995152,9.35437416592468,-6.98821242795186,1.78622696841357e-11,2.62575364356795e-09,15.6663283370681
"ILMN_3239610",-1.23520331964594,7.26699960045116,-6.95978746269729,2.1259078825123e-11,3.09351807631033e-09,15.4987823751103
"ILMN_1658830",0.143835884657755,7.64647305710094,6.91932804286784,2.72143322671416e-11,3.92049670640442e-09,15.2611474016002
